cliente,nombre,Descripcion,Logo,small_logo,color,telefono,correo,descripcion_adicional
"COTEMAR, S.A. DE C.V.","SPONYAT JET, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","VMS ENERGY DE MEXICO, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","GRUPO DRD CIME, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","COTER, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","INTEGRA, SUMINISTROS Y SERVICIOS DE INGENIERIA, S.A. DE C.V. ",,,,,,,
"COTEMAR, S.A. DE C.V.","SUSTENTABILIDAD INTEGRAL, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","GO SEA LOGISTICS AND SERVICES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",ROBERTO ARTURO GOMEZ MERCADO,,,,,,,
"COTEMAR, S.A. DE C.V.","EXTERRAN ENERGY DE MEXICO, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","RADIOGRAFIAS DE CAMPECHE, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","GRUPO APLITECSI, S.A. DE C.V.	",,,,,,,
"COTEMAR, S.A. DE C.V.","EMERSON PROCESS MANAGEMENT, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","UXMAL TECHNOLOGIES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","QUANTUM GOLFO Y CARIBE, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","AGENCIA DE OPERACIONES EN SEGURIDAD PRIVADA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","TECNOGOLFO, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","RAMEXA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","CIA 3A SERVICIOS Y SUMINISTROS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SISTEMAS HIDRAULICOS HOLANDESES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ABB MEXICO, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","CONSULTORIA PROYECTOS INGENIERIA Y CONSTRUCCIONES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","GRUPO ROALES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","MCARQUING, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","REINMEX, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","LABORATORIO PARA AGUAS Y ALIMENTOS DE CAMPECHE, S.C.",,,,,,,
"COTEMAR, S.A. DE C.V.","PROYECTOS Y CONSTRUCCIONES METALICAS VILLEGAS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","OPERADORA DE TRANSPORTES Y MANIOBRAS DEL SUR, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","BINSMAR, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ALATAS MEXICO, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIOS Y SUMINISTROS ELECTRONICOS GARBAR, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","AR MULTISERVICIOS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ECO LOGICA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","INDUSTRIAL MARITIMA DE VERACRUZ, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","FUEGO Y GAS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","CONSULTING SOLUTIONS Y ASSOCIATES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ARCOM, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","CORPORATIVO INTEGRAL DEL GOLFO ADC, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ENCER, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","MULPRECO, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","TALLERES PORTATILES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ASESORIA Y CAPACITACION EN RIESGOS INDUSTRIALES, S.C.",,,,,,,
"COTEMAR, S.A. DE C.V.","JOC CARGO SOLUTIONS, S.A. DE C.V.",,,,,,,
